,code,X,동,gu,univ,police,소방서,학문.교육,부동산,생활,음식,의료,소매,관광,인접지하철,cctv,people_by_area,people_density,people_count,남성인구밀도,여성인구밀도,사업체.종사자비율,청년남자비율,청년여자비율,집세,범죄율,1인당 자동차 등록율
268,1117064,14,개봉2동,구로구,3,0,7,28,17,107,147,26,48,30,1,0.463925827,3.9,0.24823196605,3159,0.45782263879,0.54217736121,0.95271569334,0.15318012386,0.14995157172,17046.37681,0.42165645136,0.77
269,1117065,15,개봉3동,구로구,3,1,7,9,16,67,103,13,36,21,1,0.463925827,3,0.28377288955,2464,0.46472332569,0.53527667431,1.5521177195,0.15300997592,0.14236899438,17061.76471,0.61798917425,1.06
369,1123068,16,개포1동,강남구,1,0,6,6,25,28,15,6,14,4,2,2.103431263,1.3,0.31233243968,1631,0.46131142877,0.53868857123,1.0480762392,0.15773455704,0.14839031813,23226.31579,1.5605132133,1.10
379,1123080,17,개포2동,강남구,1,0,6,73,33,63,152,31,41,34,5,2.103431263,0.5,0.2316087308,1146,0.4821178217,0.5178821783,4.0453308409,0.14984499511,0.14872146974,23226.31579,1.6469280517,1.40
370,1123071,18,개포4동,강남구,1,1,6,17,18,51,194,31,48,44,2,2.103431263,2,0.37718738025,2953,0.4734357519,0.5265642481,1.0624880618,0.16567088608,0.15678481013,23318.03279,1.0408736748,1.40
382,1124053,19,거여1동,송파구,1,0,7,13,12,39,96,6,27,25,1,0.464322487,3.3,0.31679245283,1679,0.4884977344,0.5115022656,0.42639711862,0.14825036628,0.12896521176,18180,1.1490566038,1.68
383,1124054,20,거여2동,송파구,1,1,7,9,19,35,77,24,26,25,1,0.464322487,4.5,0.33038918024,2394,0.47558386412,0.52441613588,0.63225927314,0.14550865928,0.13329896182,18180,0.84046370411,1.30
411,1125055,21,고덕1동,강동구,0,1,6,16,26,47,95,9,33,13,1,0.802558907,0.9,0.16714191709,1524,0.49156491003,0.50843508997,0.33748393316,0.14740701613,0.13612776932,13000,0.48936170213,0.86
412,1125056,22,고덕2동,강동구,0,0,6,9,20,24,85,4,37,13,1,0.802558907,0.7,0.42438749648,1507,0.47065477775,0.52934522225,1.3192706947,0.14314785743,0.10983196697,10000,1.2565474514,2.62
266,1117061,23,고척1동,구로구,3,0,7,13,13,63,269,25,46,67,0,0.463925827,2.4,0.29083245522,2760,0.48667309896,0.51332690104,0.45317493819,0.14981341038,0.13755467277,10075.92593,0.56543730242,1.01
267,1117062,24,고척2동,구로구,3,1,7,47,26,102,149,23,87,32,0,0.463925827,3.5,0.30751454981,3593,0.50559755743,0.49440244257,0.072441116604,0.1427608179,0.13911973434,11631.70732,0.45926052722,0.83
221,1114077,25,공덕동,마포구,3,0,7,17,25,91,157,28,56,40,4,0.314850839,7.8,0.42695713587,7859,0.53827900587,0.46172099413,0.40527038841,0.16017014796,0.16774540824,11853.22727,0.31906339979,0.74
176,1111079,26,공릉1동,노원구,6,1,6,23,33,142,416,56,129,85,5,0.486077647,5.5,0.42955939766,7702,0.49255568108,0.50744431892,0.37687621046,0.17133557167,0.16631212036,5478.006993,0.25337423313,0.71
161,1111056,27,공릉2동,노원구,6,0,6,37,26,106,314,25,68,95,5,0.486077647,0.7,0.31637539648,5087,0.49311294766,0.50688705234,3.7768595041,0.15109122703,0.14715100039,5471.964912,0.28254244667,0.77
255,1116069,28,공항동,강서구,2,0,6,3,16,68,261,22,70,60,5,0.29581589,0.5,0.41709306044,5217,0.49607672188,0.50392327812,0.33018308631,0.17652984725,0.16458157623,9996.835443,0.43572113847,1.13
76,1105063,29,광장동,광진구,3,1,4,62,62,112,299,41,108,89,2,0.251689379,0.9,0.17604750355,2105,0.4911345154,0.5088654846,0.27031951295,0.10969014706,0.12623127225,12000,0.44509492348,0.79
23,1102059,30,광희동,중구,2,0,7,15,32,60,546,42,662,111,1,0.153731482,2.4,0.62181693049,1807,0.49648062961,0.50351937039,0.26037798592,0.14992535722,0.13915547025,7283.333333,1.5774260151,4.24
6,1101058,31,교남동,종로구,5,1,7,6,12,25,137,18,34,21,1,0.295603883,4.5,0.35108743897,1582,0.50161608906,0.49838391094,0.4669599569,0.13512597447,0.13851542199,8833.333333,0.98956946294,2.06
262,1117052,32,구로1동,구로구,3,0,7,15,25,42,96,23,48,26,6,0.463925827,1.6,0.21290734824,1666,0.48602742326,0.51397257674,0.86231437112,0.16641097374,0.16519267214,8182.708333,0.68575079872,0.96
274,1117071,33,구로2동,구로구,3,1,7,20,45,167,514,46,134,81,6,0.463925827,3.4,0.46733317833,6030,0.49855585936,0.50144414064,0.29364193014,0.14392175128,0.12822901365,8182.708333,0.41587227776,0.80
263,1117054,34,구로3동,구로구,3,1,7,40,80,137,721,55,137,177,6,0.463925827,7.7,0.57546265575,7805,0.49747194475,0.50252805525,0.38866280265,0.22018821463,0.21327810335,8122.121212,0.39563518396,1.22
264,1117055,35,구로4동,구로구,3,1,7,20,31,124,354,37,141,63,6,0.463925827,10.5,0.45212915302,4831,0.49752995585,0.50247004415,0.14478663023,0.16242460538,0.15752662874,8182.708333,0.50219934488,0.80
265,1117056,36,구로5동,구로구,3,1,7,35,41,116,426,35,107,84,6,0.463925827,6.3,0.4545136214,6490,0.48722627737,0.51277372263,0.34732360097,0.17539591758,0.18894491792,8182.708333,0.37579662441,0.90
181,1112057,37,구산동,은평구,1,0,5,20,11,104,134,19,54,22,1,0.480012358,2.6,0.28335690712,3606,0.49169785462,0.50830214538,0.10589847662,0.13982911108,0.13512217059,14478.57143,0.35368536854,0.78
73,1105060,38,구의1동,광진구,3,0,4,39,61,145,395,46,99,113,6,0.251689379,10.5,0.50785249458,5853,0.49391357273,0.50608642727,0.19080949483,0.18906565091,0.20311449698,13451.93798,0.46177874187,1.02
74,1105061,39,구의2동,광진구,3,0,4,51,32,93,198,36,75,71,6,0.251689379,2.7,0.35131086142,3752,0.5019545035,0.4980454965,0.38520006515,0.15211569363,0.14824733679,13460.83333,0.49831460674,0.93
75,1105062,40,구의3동,광진구,3,0,4,51,51,110,306,37,94,79,6,0.251689379,3.8,0.32351970971,3923,0.4979451333,0.5020548667,0.26639502617,0.15998839056,0.16384682362,13396.34146,0.4388916378,0.96
67,1105054,41,군자동,광진구,3,0,4,37,46,129,343,37,109,115,0,0.251689379,7.4,0.52954808806,5484,0.48170994737,0.51829005263,0.26719006125,0.20078398293,0.19624382862,10693.66197,0.51390498262,1.09
55,1104059,42,금호1가동,성동구,2,0,4,21,10,52,67,24,32,17,0,0.221037581,4.3,0.30870712401,1989,0.49508624148,0.50491375852,0.4506117128,0.14380880693,0.13846443357,5000,0.46965699208,1.67
64,1104072,43,금호2.3가동,성동구,2,1,4,15,28,95,220,36,68,41,1,0.221037581,5.4,0.33661244765,3456,0.48423309077,0.51576690923,0.18694646584,0.15816468871,0.16217782261,9600,0.29473069056,0.97
56,1104062,44,금호4가동,성동구,2,0,4,12,31,46,139,27,41,34,1,0.221037581,2.6,0.3346749226,2162,0.47477016298,0.52522983702,0.15263267865,0.1564918917,0.16209589857,13000,0.46842105263,1.57
424,1125074,45,길동,강동구,0,1,6,119,127,294,801,103,229,165,1,0.802558907,3.6,0.3707495952,7785,0.48237245956,0.51762754044,0.069739882681,0.16711483708,0.16709506485,9705.181818,0.21249642823,0.64
119,1108066,46,길음1동,성북구,7,1,5,45,46,97,258,73,136,42,1,0.405292278,3.2,0.1968412943,2555,0.49765258216,0.50234741784,0.1285255392,0.1262130724,0.14550176021,5250,0.28844375963,0.74
120,1108068,47,길음2동,성북구,7,0,5,29,23,44,161,19,112,29,3,0.405292278,3.3,0.38199318227,1905,0.4811982578,0.5188017422,0.25876915916,0.14075043321,0.14184673056,5250,0.75075195508,1.99
322,1121058,48,낙성대동,관악구,1,1,5,25,21,47,369,30,63,69,4,0.591651669,3.1,0.67769770529,7147,0.49907391817,0.50092608183,0.24384576528,0.25879741845,0.23616505563,9480.545295,0.53840318604,1.34
337,1121081,49,난곡동,관악구,1,0,5,19,16,78,87,29,63,22,1,0.591651669,5,0.37551689163,4813,0.49274388605,0.50725611395,0.21848965332,0.15874590233,0.13569807514,8623.068916,0.44300538348,0.77
331,1121071,50,난향동,관악구,1,1,5,6,9,29,47,14,28,10,1,0.591651669,2.3,0.28076982772,1809,0.48473063155,0.51526936845,0.19176205418,0.13568533253,0.13505479658,8623.068916,0.88126649077,1.37
199,1113069,51,남가좌1동,서대문구,9,0,5,1,12,23,115,24,69,12,1,0.335271061,2.8,0.2345780556,1426,0.49820625954,0.50179374046,0.35701620552,0.14405391317,0.15567056371,7721.212121,0.60289521303,1.45
200,1113070,52,남가좌2동,서대문구,9,1,5,11,20,71,235,26,61,53,1,0.335271061,5.5,0.41538157374,4202,0.48682050347,0.51317949653,0.18104706312,0.14793831302,0.13957293627,7255.072464,0.36229735073,1.05
35,1103053,53,남영동,용산구,2,0,6,17,17,49,312,40,62,73,3,0.416053686,3.5,0.76620752984,4172,0.48689500892,0.51310499108,0.16587563107,0.15027121141,0.12991361414,10300,0.75977961433,2.66
325,1121063,54,남현동,관악구,1,1,5,21,18,61,182,16,69,43,0,0.591651669,1.3,0.47804610318,4355,0.47572233545,0.52427766455,0.42081285218,0.20479588768,0.21726410193,9440,0.62327113063,1.28
357,1122068,55,내곡동,서초구,3,1,7,6,6,26,94,18,34,24,0,0.491841786,0.2,0.27128547579,1950,0.47578895158,0.52421104842,0.21669043338,0.15512279097,0.15966861231,16811.76471,0.69407345576,1.58
317,1120072,56,노량진1동,동작구,3,2,5,112,26,59,308,21,121,86,2,0.268762902,3.9,0.42125094197,6149,0.47443353932,0.52556646068,0.46231673331,0.18098656078,0.15891875382,5950.381679,0.22107282318,0.82
304,1120052,57,노량진2동,동작구,3,0,5,21,17,32,119,15,51,34,1,0.268762902,6.1,0.54397986296,3890,0.51246952281,0.48753047719,1.2366074538,0.18037697253,0.14680742256,6066.942149,0.45126555726,1.45
177,1112051,58,녹번동,은평구,1,2,5,13,31,100,236,17,59,38,2,0.480012358,3.3,0.40361813131,5957,0.47339972761,0.52660027239,0.66943309499,0.15117825922,0.15070315469,12925,0.30496646114,0.81
359,1123052,59,논현1동,강남구,1,1,6,59,81,232,617,143,141,166,2,2.103431263,7.3,0.64567375887,9104,0.49714285714,0.50285714286,0.15541057368,0.21317952967,0.26839164702,14707.85219,0.57794326241,1.35
360,1123053,60,논현2동,강남구,1,1,6,40,93,203,750,110,149,174,2,2.103431263,4,0.51874944331,5824,0.47899855162,0.52100144838,0.66001596169,0.17593332572,0.22274232218,14704.85751,0.72583949408,1.57
72,1105059,61,능동,광진구,3,1,4,16,19,46,146,21,70,50,2,0.251689379,3,0.53955773956,3294,0.47673525799,0.52326474201,0.30625511876,0.20452816681,0.2392500783,11648.8,0.87174447174,1.97
29,1102070,62,다산동,중구,2,0,7,11,21,47,189,36,63,52,4,0.153731482,5.8,0.4315177923,2971,0.4899566505,0.5100433495,0.22269196103,0.16829316869,0.16049259776,11732.14286,0.66579520697,1.44
94,1106091,63,답십리1동,동대문구,5,1,6,22,43,62,191,37,62,43,0,0.340924687,5.2,0.38218053927,4238,0.49590064129,0.50409935871,0.55325107557,0.16246146357,0.16284682784,8816.861702,0.43168906123,1.03
89,1106086,64,답십리2동,동대문구,5,0,6,20,19,66,131,19,75,15,0,0.340924687,4.7,0.33016745814,3963,0.48227878211,0.51772121789,0.18787662544,0.14279111963,0.13695417744,8816.861702,0.39881696243,0.84
287,1119055,65,당산1동,영등포구,0,2,6,16,37,82,362,29,308,81,0,0.32394311,6.6,0.48690020606,4962,0.49027784512,0.50972215488,0.3790185715,0.18219476922,0.17993970145,10376.82927,0.62035129035,1.18
288,1119056,66,당산2동,영등포구,0,1,6,31,61,94,285,59,83,82,1,0.32394311,5.3,0.48376220053,8178,0.48041387915,0.51958612085,0.15982962979,0.18934373891,0.22246186591,9076.979167,0.37397219757,0.82
297,1119070,67,대림1동,영등포구,0,0,6,13,11,44,151,18,70,23,0,0.32394311,5.9,0.45289798469,2899,0.49151647551,0.50848352449,0.19736027672,0.14848495247,0.12875330291,7945.555556,0.98765817841,1.33
298,1119071,68,대림2동,영등포구,0,1,6,5,24,68,237,20,79,36,0,0.32394311,5.8,0.48663183774,3167,0.48627528562,0.51372471438,0.13798902023,0.14253081943,0.13292240754,7986.516854,0.97141979103,1.03
299,1119072,69,대림3동,영등포구,0,1,6,30,20,94,239,21,71,50,0,0.32394311,3.9,0.36433744005,3874,0.48041890346,0.51958109654,0.23585320778,0.16177154371,0.14561376317,7986.516854,0.59456409292,0.83
313,1120068,70,대방동,동작구,3,1,5,70,36,128,256,70,122,46,2,0.268762902,4.1,0.37961251863,6368,0.49184523293,0.50815476707,0.16743298343,0.14708106473,0.15693688244,8730,0.19236959762,0.69
182,1112058,71,대조동,은평구,1,1,5,22,27,113,421,66,132,74,1,0.480012358,8.5,0.46155802862,7258,0.49377875575,0.50622124425,0.45297059412,0.15848741832,0.16964023665,11771.17647,0.28623211447,0.77
363,1123060,72,대치1동,강남구,1,1,6,80,50,78,195,79,55,51,3,2.103431263,0.7,0.076352353973,566,0.4851521627,0.5148478373,0.11896691474,0.088071960979,0.10483751768,14446.32456,1.0992850398,1.10
378,1123079,73,대치2동,강남구,1,0,6,77,58,101,429,53,97,105,3,2.103431263,1.2,0.18059855521,2450,0.48805957844,0.51194042156,0.11121492759,0.12345441655,0.11977746002,14485.92174,0.60069290874,0.90
364,1123063,74,대치4동,강남구,1,0,6,217,151,312,894,140,248,269,3,2.103431263,7,0.50875284344,5144,0.49592820342,0.50407179658,0.42884050745,0.15730174081,0.19226305609,14610.34454,0.80595391158,1.40
333,1121073,75,대학동,관악구,1,1,5,58,12,82,381,22,72,88,1,0.591651669,1.4,0.72944655139,11348,0.5067844428,0.4932155572,0.080976691073,0.30036219954,0.16639227308,3414.285714,0.36498039468,0.99
208,1114060,76,대흥동,마포구,3,0,7,30,47,79,267,66,79,77,4,0.314850839,5.3,0.64931087289,4664,0.49600047755,0.50399952245,0.1149713467,0.20020842519,0.21267385466,8728,0.81762494779,1.62
367,1123066,77,도곡1동,강남구,1,0,6,39,56,99,256,99,77,68,2,2.103431263,2.4,0.29029990628,2478,0.4796041263,0.5203958737,0.27035660051,0.1467943139,0.16969047778,14573.09804,0.95466260544,1.20
368,1123067,78,도곡2동,강남구,1,1,6,52,104,130,378,84,119,104,2,2.103431263,2.2,0.19095393362,2284,0.59379271529,0.40620728471,0.50691485085,0.11432708318,0.14325635271,14706.97872,0.68129755037,1.00
302,1119075,79,도림동,영등포구,0,0,6,19,21,65,110,18,48,30,0,0.32394311,4.8,0.4635483871,4311,0.49314171799,0.50685828201,0.17932696599,0.176262678,0.17231841,10874.6988,0.67978494624,1.02
156,1110064,80,도봉1동,도봉구,1,1,5,12,14,53,277,19,58,42,1,0.240858753,0.4,0.38077184796,3917,0.49079245283,0.50920754717,0.24279245283,0.14149855281,0.12084611869,7502.083333,0.23699815301,1.06
157,1110065,81,도봉2동,도봉구,1,1,5,8,23,50,160,9,45,24,1,0.240858753,4.6,0.31534752245,3793,0.50308502634,0.49691497366,0.089240030098,0.14043044873,0.13346324975,7430.612245,0.20269371467,0.90
219,1114075,82,도화동,마포구,3,1,7,11,34,84,265,34,45,46,1,0.314850839,5.7,0.36658691355,3524,0.55099676401,0.44900323599,0.13167672087,0.15248501471,0.16511468448,15465.51724,0.61094351399,1.08
277,1118052,83,독산1동,금천구,0,1,2,42,40,112,337,22,297,64,0,0.305944659,3.9,0.46533625562,8068,0.51012298168,0.48987701832,0.33355642935,0.20436827125,0.16405766613,11371.6055,0.21023186065,0.80
278,1118053,84,독산2동,금천구,0,0,2,18,22,89,134,22,59,29,0,0.305944659,6.5,0.41414571794,3888,0.48612153038,0.51387846962,0.088942235559,0.15481161677,0.13615023474,11481.82243,0.38826161057,1.01
279,1118054,85,독산3동,금천구,0,0,2,13,40,91,254,22,106,31,0,0.305944659,5.9,0.44280200378,5392,0.50165532463,0.49834467537,0.26075961008,0.15512316687,0.13714176172,11519.20561,0.29933481153,0.83
280,1118055,86,독산4동,금천구,0,1,2,12,20,50,163,7,45,35,0,0.305944659,5.4,0.41894709408,3215,0.50439493824,0.49560506176,0.17852542244,0.14752011112,0.13308061809,11465.30516,0.47498045348,1.20
111,1108058,87,돈암1동,성북구,7,0,5,23,10,22,32,9,26,6,0,0.405292278,3.6,0.27449443486,1751,0.501292632,0.498707368,0.12195485731,0.13915529874,0.14186572943,7571.428571,0.58692585045,1.40
112,1108059,88,돈암2동,성북구,7,1,5,5,5,9,15,7,6,2,0,0.405292278,3.1,0.17666431428,1502,0.49425031943,0.50574968057,0.20359980001,0.12388605133,0.13647340414,7500,0.44036697248,1.00
128,1108083,89,동선동,성북구,7,0,5,37,43,148,477,40,91,101,2,0.405292278,7.5,0.61341600902,5441,0.48997643647,0.51002356353,0.14522385354,0.17372304379,0.25976123373,7406.132075,0.42209695603,1.44
32,1102073,90,동화동,중구,2,0,7,17,17,37,79,15,26,23,4,0.153731482,4.5,0.2798285306,1175,0.51267212133,0.48732787867,0.35287367791,0.14721173073,0.14801155299,11732.14286,1.0916884973,1.95
420,1125070,91,둔촌1동,강동구,0,0,6,4,11,10,7,4,6,4,1,0.802558907,0.2,0.69651741294,140,0.47867994383,0.52132005617,0.32401378782,0.16510303905,0.12974099912,16252.72727,22.199004975,2.68
421,1125071,92,둔촌2동,강동구,0,1,6,66,55,147,265,34,72,65,1,0.802558907,3.4,0.29854630294,3327,0.48390881663,0.51609118337,0.37569560845,0.15588664708,0.14906154902,16283.92857,0.4003948313,0.93
242,1116052,93,등촌1동,강서구,2,0,6,16,34,74,229,31,65,59,2,0.29581589,10,0.50863110651,5893,0.49115736285,0.50884263715,0.071282483157,0.18546298777,0.22446200554,11802.71186,0.47039530468,1.14
243,1116053,94,등촌2동,강서구,2,1,6,11,18,37,84,10,18,24,2,0.29581589,2.5,0.27395174514,2339,0.48683259999,0.51316740001,0.20197675182,0.16860492054,0.15917620349,11794.50172,0.63832279222,1.13
244,1116054,95,등촌3동,강서구,2,1,6,59,28,84,275,46,60,69,2,0.29581589,6.5,0.34987778381,5153,0.48554802229,0.51445197771,0.33153083912,0.15489517021,0.14447685697,11821.875,0.37004345464,0.88
50,1104054,96,마장동,성동구,2,0,4,13,25,51,141,18,248,31,1,0.221037581,4.1,0.41484426773,4382,0.47928388747,0.52071611253,0.27945439045,0.16373580143,0.1624106016,8201.346154,0.28647164631,1.15
384,1124055,97,마천1동,송파구,1,0,7,9,23,49,90,9,29,19,1,0.464322487,6.1,0.38173604389,3549,0.48537853978,0.51462146022,0.20030822578,0.1397586613,0.12318051512,8000,0.65505001613,1.02
385,1124056,98,마천2동,송파구,1,1,7,12,11,55,160,31,90,19,1,0.464322487,3.3,0.34685787571,2975,0.47713359741,0.52286640259,0.6389170786,0.14728031466,0.12636703761,8000,0.71003847499,1.15
105,1107068,99,망우3동,중랑구,1,0,5,22,18,57,146,15,44,18,2,0.211373461,3.6,0.41881351926,3544,0.49311445508,0.50688554492,0.45782033744,0.14693402113,0.13625648279,12594,0.59572205152,1.18
110,1107073,100,망우본동,중랑구,1,1,5,26,34,176,429,66,206,76,2,0.211373461,2.2,0.4321669736,6336,0.46582385166,0.53417614834,0.50105351875,0.15752863525,0.14078802962,12307.69231,0.34383739172,0.85
213,1114069,101,망원1동,마포구,3,1,7,9,22,66,268,34,44,48,1,0.314850839,4.2,0.46418142885,4769,0.48365216685,0.51634783315,0.34633036838,0.16910220006,0.17979084424,16290.47619,0.5716371423,1.08
214,1114070,102,망원2동,마포구,3,0,7,12,20,86,175,11,51,39,1,0.314850839,4.2,0.34234344423,2799,0.49107013738,0.50892986262,0.27689804772,0.15098359843,0.16247955998,16283.16832,0.71832191781,1.18
95,1107052,103,면목2동,중랑구,1,1,5,22,18,116,197,35,90,37,3,0.211373461,7.2,0.42854797669,5221,0.48295679746,0.51704320254,0.21122341128,0.15405375014,0.13943551108,12866.53061,0.41377329065,0.90
109,1107072,104,면목3.8동,중랑구,1,1,5,24,24,125,352,33,91,75,3,0.211373461,3.2,0.42924041591,5408,0.49548856969,0.50451143031,0.25846651831,0.15776580108,0.14366595895,12886.22047,0.40011111993,0.87
96,1107054,105,면목4동,중랑구,1,0,5,8,15,44,95,10,34,19,3,0.211373461,3.6,0.4155693669,3945,0.49150374566,0.50849625434,0.39442109751,0.15561153093,0.15586808471,12767.47967,0.53102285895,1.06
97,1107055,106,면목5동,중랑구,1,1,5,2,6,44,92,7,52,21,3,0.211373461,3,0.40835666595,1896,0.48387096774,0.51612903226,0.29413569425,0.15055299539,0.13958525346,12867.07317,1.0857204394,2.07
98,1107057,107,면목7동,중랑구,1,0,5,13,16,77,142,20,79,27,3,0.211373461,4.8,0.41047213699,4147,0.49502793296,0.50497206704,0.31290502793,0.15669182063,0.14879868159,12747.15447,0.49896070474,1.03
108,1107071,108,면목본동,중랑구,1,1,5,26,47,132,334,41,117,51,3,0.211373461,7.9,0.45786662071,7971,0.49282175073,0.50717824927,0.15277601321,0.16539727847,0.15323093445,12872.17742,0.28956286978,0.65
20,1102055,109,명동,중구,2,3,7,18,43,118,861,99,205,205,2,0.153731482,0.9,0.66243833686,940,0.46350245499,0.53649754501,0.61518003273,0.11757269279,0.13075672747,23153.84615,3.2304439746,8.69
409,1125053,110,명일1동,강동구,0,0,6,43,48,119,287,54,86,83,3,0.802558907,3.3,0.24325314446,1992,0.57507772968,0.42492227032,0.17191977077,0.13739603678,0.13814215805,12235,0.54487727439,1.12
410,1125054,111,명일2동,강동구,0,1,6,57,17,61,120,25,30,40,3,0.802558907,1,0.16649711767,982,0.50156218649,0.49843781351,0.16040358873,0.13088251277,0.12188892512,12563.15789,0.75652763649,1.31
223,1115051,112,목1동,양천구,0,0,6,84,39,127,489,74,127,131,4,0.672636893,1.1,0.1502374169,1582,0.49088123508,0.50911876492,0.088064582658,0.10871288336,0.13151637095,15926.63043,0.39050332384,1.08
224,1115052,113,목2동,양천구,0,0,6,20,29,77,148,16,41,42,4,0.672636893,4,0.32482236277,4160,0.49020934849,0.50979065151,0.23005775131,0.17355716762,0.17195223727,15621.95122,0.32107441243,0.81
225,1115053,114,목3동,양천구,0,1,6,21,26,94,172,40,60,45,4,0.672636893,6.2,0.34965709387,3263,0.50121526371,0.49878473629,0.38382078911,0.17215802079,0.16625200549,15675.1269,0.44063437634,1.09
226,1115054,115,목4동,양천구,0,0,6,28,28,99,197,31,68,39,4,0.672636893,4.8,0.27031063321,2715,0.49892933619,0.50107066381,0.13302997859,0.13434244437,0.12864350793,15926.63043,0.40939864596,0.90
239,1115071,116,목5동,양천구,0,1,6,89,37,59,156,25,51,29,4,0.672636893,0.9,0.11879145173,1612,0.49517553794,0.50482446206,0.13685164213,0.10722751516,0.11656106122,15926.63043,0.30302137067,0.66
5,1101057,117,무악동,종로구,5,0,7,5,12,22,63,15,22,13,0,0.295603883,2,0.23823724321,719,0.52494427781,0.47505572219,0.83495225778,0.11234664894,0.12715295824,8000,1.4774685222,2.57
103,1107064,118,묵1동,중랑구,1,1,5,11,19,106,200,30,65,39,1,0.211373461,3.7,0.30978298551,4468,0.50804740654,0.49195259346,3.028202502,0.15052929033,0.1519787991,9989.932886,0.34951119739,0.77
104,1107065,119,묵2동,중랑구,1,0,5,15,14,92,195,35,60,36,1,0.211373461,5.2,0.4,3658,0.50936712559,0.49063287441,0.18299674981,0.16158505287,0.1567087568,9828.85906,0.55123018043,1.14
303,1119076,120,문래동,영등포구,0,1,6,26,44,85,428,51,191,94,1,0.32394311,2.3,0.28099374848,3461,0.49369227632,0.50630772368,0.77254319261,0.15319121695,0.16620254785,11557.57576,0.51327433628,0.91
397,1124068,121,문정1동,송파구,1,0,7,23,31,80,167,17,45,41,1,0.464322487,4.6,0.30647260679,2590,0.49873653928,0.50126346072,0.22862807604,0.16946657632,0.16507395033,15646.97635,0.72062477813,1.19
398,1124069,122,문정2동,송파구,1,0,7,2,52,105,665,42,138,113,3,0.464322487,3.6,0.52447552448,7875,0.4904602466,0.5095397534,0.39431866497,0.17941509969,0.19996692809,15646.97635,0.40559440559,1.14
339,1121083,123,미성동,관악구,1,1,5,33,21,88,171,29,77,36,1,0.591651669,3.8,0.36946022727,5202,0.49286663713,0.50713336287,0.22853345148,0.15951826307,0.14735303522,24500,0.40326704545,0.77
138,1109070,124,미아동,강북구,1,0,5,11,16,109,272,36,61,46,3,0.361219665,7.2,0.47544080605,5285,0.48804253521,0.51195746479,0.1753464884,0.15465187924,0.1540577414,6862.875536,0.38044260525,1.12
